"SLI DAILY TRACKING REPORT as of __Aug.1, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"Ilocos Norte","","162","19","181","42","12","132","478","296","161.49%",,,,
"Abra","","23","2","25","5","1","20","36","43","83.72%",,,,
"Nueva Vizcaya","","25","9","34","4","14","16","187","222","84.23%",,,,
"Ifugao","","2","0","2","0","0","2","21","24","87.50%",,,,
"Isabela","","20","12","32","14","5","14","245","265","92.45%",,,,
"Quirino","","2","3","5","2","2","2","28","38","73.68%",,,,
"Kalinga","","2","2","4","2","2","0","25","28","89.29%",,,,
"Cagayan","","14","8","22","6","3","16","197","239","82.43%",,,,
"Apayao","","3","5","8","1","0","7","8","9","88.89%",,,,
"OVER ALL TOTAL","31","590","130","720","129","62","560","2088","1953","106.91%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 26, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","314","46","360","24","5","341","638","509","125.34%",,,,
"Mountain Province","","4","1","5","0","0","5","3","15","20.00%",,,,
"Ilocos Sur","","33","19","52","19","6","29","265","265","100.00%",,,,
"Ilocos Norte","","132","28","160","21","10","133","499","296","168.58%",,,,
"Abra","","20","13","33","3","2","28","39","43","90.70%",,,,
"Nueva Vizcaya","","16","9","25","19","0","11","206","222","92.79%",,,,
"Ifugao","","2","1","3","0","0","3","21","24","87.50%",,,,
"Isabela","","14","20","34","12","4","18","257","265","96.98%",,,,
"Quirino","","2","1","3","0","1","2","28","38","73.68%",,,,
"Kalinga","","0","5","5","0","0","5","25","28","89.29%",,,,
"Cagayan","","16","2","18","4","3","11","201","239","84.10%",,,,
"Apayao","","7","0","7","2","0","7","10","9","111.11%",,,,
"OVER ALL TOTAL","23","560","145","705","104","31","593","2192","1953","112.24%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 27, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","341","","341","0","","341","638","509","125.34%",,,,
"Mountain Province","","5","","5","0","","5","3","15","20.00%",,,,
"Ilocos Sur","","29","","29","0","","29","265","265","100.00%",,,,
"Ilocos Norte","","133","","133","0","","133","499","296","168.58%",,,,
"Abra","","28","","28","0","","28","39","43","90.70%",,,,
"Nueva Vizcaya","","11","","11","0","","11","206","222","92.79%",,,,
"Ifugao","","3","","3","0","","3","21","24","87.50%",,,,
"Isabela","","18","","18","0","","18","257","265","96.98%",,,,
"Quirino","","2","","2","0","","2","28","38","73.68%",,,,
"Kalinga","","5","","5","0","","5","25","28","89.29%",,,,
"Cagayan","","11","","11","0","","11","201","239","84.10%",,,,
"Apayao","","7","","7","0","","7","10","9","111.11%",,,,
"OVER ALL TOTAL","0","593","0","593","0","0","593","2192","1953","112.24%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 28, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","341","","341","0","","341","638","509","125.34%",,,,
"Mountain Province","","5","","5","0","","5","3","15","20.00%",,,,
"Ilocos Sur","","29","","29","0","","29","265","265","100.00%",,,,
"Ilocos Norte","","133","","133","0","","133","499","296","168.58%",,,,
"Abra","","28","","28","0","","28","39","43","90.70%",,,,
"Nueva Vizcaya","","11","","11","0","","11","206","222","92.79%",,,,
"Ifugao","","3","","3","0","","3","21","24","87.50%",,,,
"Isabela","","18","","18","0","","18","257","265","96.98%",,,,
"Quirino","","2","","2","0","","2","28","38","73.68%",,,,
"Kalinga","","5","","5","0","","5","25","28","89.29%",,,,
"Cagayan","","11","","11","0","","11","201","239","84.10%",,,,
"Apayao","","7","","7","0","","7","10","9","111.11%",,,,
"OVER ALL TOTAL","0","593","0","593","0","0","593","2192","1953","112.24%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 29, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","341","","341","0","","341","638","509","125.34%",,,,
"Mountain Province","","5","","5","0","","5","3","15","20.00%",,,,
"Ilocos Sur","","29","","29","0","","29","265","265","100.00%",,,,
"Ilocos Norte","","133","","133","0","","133","499","296","168.58%",,,,
"Abra","","28","","28","0","","28","39","43","90.70%",,,,
"Nueva Vizcaya","","11","","11","0","","11","206","222","92.79%",,,,
"Ifugao","","3","","3","0","","3","21","24","87.50%",,,,
"Isabela","","18","","18","0","","18","257","265","96.98%",,,,
"Quirino","","2","","2","0","","2","28","38","73.68%",,,,
"Kalinga","","5","","5","0","","5","25","28","89.29%",,,,
"Cagayan","","11","","11","0","","11","201","239","84.10%",,,,
"Apayao","","7","","7","0","","7","10","9","111.11%",,,,
"OVER ALL TOTAL","0","593","0","593","0","0","593","2192","1953","112.24%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 30, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","341","","341","0","","341","638","509","125.34%",,,,
"Mountain Province","","5","","5","0","","5","3","15","20.00%",,,,
"Ilocos Sur","","29","","29","0","","29","265","265","100.00%",,,,
"Ilocos Norte","","133","","133","0","","133","499","296","168.58%",,,,
"Abra","","28","","28","0","","28","39","43","90.70%",,,,
"Nueva Vizcaya","","11","","11","0","","11","206","222","92.79%",,,,
"Ifugao","","3","","3","0","","3","21","24","87.50%",,,,
"Isabela","","18","","18","0","","18","257","265","96.98%",,,,
"Quirino","","2","","2","0","","2","28","38","73.68%",,,,
"Kalinga","","5","","5","0","","5","25","28","89.29%",,,,
"Cagayan","","11","","11","0","","11","201","239","84.10%",,,,
"Apayao","","7","","7","0","","7","10","9","111.11%",,,,
"OVER ALL TOTAL","0","593","0","593","0","0","593","2192","1953","112.24%",,,,
"SLI DAILY TRACKING REPORT as of __Aug. 31, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","341","","341","0","","341","638","509","125.34%",,,,
"Mountain Province","","5","","5","0","","5","3","15","20.00%",,,,
"Ilocos Sur","","29","","29","0","","29","265","265","100.00%",,,,
"Ilocos Norte","","133","","133","0","","133","499","296","168.58%",,,,
"Abra","","28","","28","0","","28","39","43","90.70%",,,,
"Nueva Vizcaya","","11","","11","0","","11","206","222","92.79%",,,,
"Ifugao","","3","","3","0","","3","21","24","87.50%",,,,
"Isabela","","18","","18","0","","18","257","265","96.98%",,,,
"Quirino","","2","","2","0","","2","28","38","73.68%",,,,
"Kalinga","","5","","5","0","","5","25","28","89.29%",,,,
"Cagayan","","11","","11","0","","11","201","239","84.10%",,,,
"Apayao","","7","","7","0","","7","10","9","111.11%",,,,
"OVER ALL TOTAL","0","593","0","593","0","0","593","2192","1953","112.24%",,,,
